species,finalguild,fish
Ameiurus melas,benthic,black bullhead catfish
Culaea inconstans,intermediate,stickleback
Cyprinella lutrensis,surface,red shiner
Cyprinella spiloptera,surface,spotfin shiner
Cyprinus carpio,benthic,common carp
Esox americanus,intermediate,grass pickerel
Esox lucius,intermediate,northern pike
Etheostoma nigrum,benthic,johnny darter
Ictiobus bubalus,benthic,smallmouth buffalo
Ictiobus cyprinellus,surface,bigmouth buffalo
Lepisosteidae,intermediate,gar
Lepomis cyanellus,intermediate,green sunfish
Lepomis gibbosus,benthic,pumpkinseed sunfish
Lepomis macrochirus,surface,bluegill
Luxilus cornutus,surface,common shiner
Micropterus dolomieu,intermediate,smallmouth bass
Micropterus salmoides,intermediate,largemouth bass
Notropis blennius,surface,river shiner
Notropis stramineus,surface,sand shiner
Pimephales promelas,surface,fathead minnow
Sander vitreus,intermediate,walleye
Semotilus atromaculatus,intermediate,creek chub
,,
,,
